candidate_id,rank,score,reasoning
CAND_0013536,1,0.558142,Strong match with 7 out of 22 required skills at advanced/expert level. 14.1 years of experience. Behavioral engagement score: 0.72.
CAND_0059294,2,0.530107,Strong match with 3 out of 22 required skills at advanced/expert level. 13.0 years of experience. Behavioral engagement score: 0.65.
CAND_0000847,3,0.526852,Strong match with 2 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.51.
CAND_0046064,4,0.52496,Strong match with 6 out of 22 required skills at advanced/expert level. 8.9 years of experience. Behavioral engagement score: 0.75.
CAND_0061066,5,0.521396,Strong match with 2 out of 22 required skills at advanced/expert level. 13.8 years of experience. Behavioral engagement score: 0.52.
CAND_0058718,6,0.519078,Strong match with 1 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.43.
CAND_0071974,7,0.519051,Strong match with 7 out of 22 required skills at advanced/expert level. 7.8 years of experience. Behavioral engagement score: 0.81.
CAND_0068348,8,0.518197,Strong match with 3 out of 22 required skills at advanced/expert level. 13.8 years of experience. Behavioral engagement score: 0.41.
CAND_0057623,9,0.518016,Strong match with 0 out of 22 required skills at advanced/expert level. 14.6 years of experience. Behavioral engagement score: 0.57.
CAND_0002025,10,0.517045,Strong match with 7 out of 22 required skills at advanced/expert level. 5.9 years of experience. Behavioral engagement score: 0.86.
CAND_0044039,11,0.513517,Strong match with 2 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.42.
CAND_0045187,12,0.512788,Strong match with 2 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.42.
CAND_0010251,13,0.511517,Strong match with 0 out of 22 required skills at advanced/expert level. 14.1 years of experience. Behavioral engagement score: 0.59.
CAND_0070849,14,0.508678,Strong match with 0 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.43.
CAND_0008036,15,0.508659,Strong match with 2 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.45.
CAND_0091383,16,0.507745,Strong match with 2 out of 22 required skills at advanced/expert level. 14.8 years of experience. Behavioral engagement score: 0.59.
CAND_0090472,17,0.506576,Strong match with 2 out of 22 required skills at advanced/expert level. 14.4 years of experience. Behavioral engagement score: 0.50.
CAND_0088025,18,0.506549,Strong match with 6 out of 22 required skills at advanced/expert level. 8.6 years of experience. Behavioral engagement score: 0.84.
CAND_0051843,19,0.506438,Strong match with 0 out of 22 required skills at advanced/expert level. 14.3 years of experience. Behavioral engagement score: 0.65.
CAND_0017837,20,0.505828,Strong match with 2 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.34.
CAND_0015831,21,0.505625,Strong match with 3 out of 22 required skills at advanced/expert level. 14.7 years of experience. Behavioral engagement score: 0.38.
CAND_0066945,22,0.505057,Strong match with 2 out of 22 required skills at advanced/expert level. 11.5 years of experience. Behavioral engagement score: 0.69.
CAND_0050395,23,0.503139,Strong match with 2 out of 22 required skills at advanced/expert level. 15.0 years of experience. Behavioral engagement score: 0.54.
CAND_0003805,24,0.50303,Strong match with 2 out of 22 required skills at advanced/expert level. 14.2 years of experience. Behavioral engagement score: 0.51.
CAND_0002671,25,0.501862,Strong match with 3 out of 22 required skills at advanced/expert level. 13.6 years of experience. Behavioral engagement score: 0.47.
CAND_0047420,26,0.501476,Strong match with 0 out of 22 required skills at advanced/expert level. 14.6 years of experience. Behavioral engagement score: 0.45.
CAND_0071115,27,0.500998,Strong match with 3 out of 22 required skills at advanced/expert level. 16.5 years of experience. Behavioral engagement score: 0.46.
CAND_0068782,28,0.499855,Strong match with 1 out of 22 required skills at advanced/expert level. 14.1 years of experience. Behavioral engagement score: 0.51.
CAND_0092815,29,0.499466,Strong match with 0 out of 22 required skills at advanced/expert level. 14.1 years of experience. Behavioral engagement score: 0.60.
CAND_0069795,30,0.498321,Strong match with 3 out of 22 required skills at advanced/expert level. 12.8 years of experience. Behavioral engagement score: 0.48.
CAND_0011687,31,0.497185,Strong match with 5 out of 22 required skills at advanced/expert level. 7.8 years of experience. Behavioral engagement score: 0.81.
CAND_0059701,32,0.496456,Strong match with 2 out of 22 required skills at advanced/expert level. 13.7 years of experience. Behavioral engagement score: 0.50.
CAND_0072641,33,0.496188,Strong match with 0 out of 22 required skills at advanced/expert level. 14.8 years of experience. Behavioral engagement score: 0.48.
CAND_0072969,34,0.495923,Strong match with 0 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.49.
CAND_0096943,35,0.495508,Strong match with 2 out of 22 required skills at advanced/expert level. 12.2 years of experience. Behavioral engagement score: 0.68.
CAND_0005085,36,0.495026,Strong match with 1 out of 22 required skills at advanced/expert level. 14.7 years of experience. Behavioral engagement score: 0.31.
CAND_0088693,37,0.494613,Strong match with 0 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.49.
CAND_0055929,38,0.493876,Strong match with 1 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.43.
CAND_0048594,39,0.493846,Strong match with 2 out of 22 required skills at advanced/expert level. 14.3 years of experience. Behavioral engagement score: 0.45.
CAND_0015479,40,0.493461,Strong match with 0 out of 22 required skills at advanced/expert level. 14.7 years of experience. Behavioral engagement score: 0.50.
CAND_0042262,41,0.493455,Strong match with 3 out of 22 required skills at advanced/expert level. 13.8 years of experience. Behavioral engagement score: 0.26.
CAND_0099445,42,0.492965,Strong match with 1 out of 22 required skills at advanced/expert level. 12.4 years of experience. Behavioral engagement score: 0.55.
CAND_0076112,43,0.492759,Strong match with 1 out of 22 required skills at advanced/expert level. 14.4 years of experience. Behavioral engagement score: 0.43.
CAND_0047133,44,0.492575,Strong match with 1 out of 22 required skills at advanced/expert level. 13.3 years of experience. Behavioral engagement score: 0.47.
CAND_0099392,45,0.49234,Strong match with 1 out of 22 required skills at advanced/expert level. 13.7 years of experience. Behavioral engagement score: 0.47.
CAND_0027988,46,0.49174,Strong match with 3 out of 22 required skills at advanced/expert level. 14.7 years of experience. Behavioral engagement score: 0.50.
CAND_0042135,47,0.491439,Strong match with 2 out of 22 required skills at advanced/expert level. 14.3 years of experience. Behavioral engagement score: 0.38.
CAND_0067229,48,0.491118,Strong match with 2 out of 22 required skills at advanced/expert level. 12.9 years of experience. Behavioral engagement score: 0.52.
CAND_0010770,49,0.490467,Strong match with 1 out of 22 required skills at advanced/expert level. 15.2 years of experience. Behavioral engagement score: 0.52.
CAND_0067038,50,0.48992,Strong match with 0 out of 22 required skills at advanced/expert level. 13.6 years of experience. Behavioral engagement score: 0.58.
CAND_0042528,51,0.489751,Strong match with 1 out of 22 required skills at advanced/expert level. 14.2 years of experience. Behavioral engagement score: 0.42.
CAND_0035230,52,0.489669,Strong match with 0 out of 22 required skills at advanced/expert level. 14.8 years of experience. Behavioral engagement score: 0.51.
CAND_0087023,53,0.489652,Strong match with 2 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.27.
CAND_0041669,54,0.489366,Strong match with 6 out of 22 required skills at advanced/expert level. 8.0 years of experience. Behavioral engagement score: 0.80.
CAND_0036023,55,0.48901,Strong match with 2 out of 22 required skills at advanced/expert level. 14.2 years of experience. Behavioral engagement score: 0.48.
CAND_0020372,56,0.488879,Strong match with 2 out of 22 required skills at advanced/expert level. 13.4 years of experience. Behavioral engagement score: 0.34.
CAND_0036847,57,0.488507,Strong match with 3 out of 22 required skills at advanced/expert level. 13.5 years of experience. Behavioral engagement score: 0.59.
CAND_0066954,58,0.48774,Strong match with 1 out of 22 required skills at advanced/expert level. 14.8 years of experience. Behavioral engagement score: 0.38.
CAND_0042236,59,0.487703,Strong match with 1 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.47.
CAND_0013415,60,0.487397,Strong match with 0 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.45.
CAND_0064370,61,0.487375,Strong match with 3 out of 22 required skills at advanced/expert level. 14.8 years of experience. Behavioral engagement score: 0.31.
CAND_0058002,62,0.487309,Strong match with 0 out of 22 required skills at advanced/expert level. 13.8 years of experience. Behavioral engagement score: 0.54.
CAND_0008265,63,0.487023,Strong match with 2 out of 22 required skills at advanced/expert level. 13.2 years of experience. Behavioral engagement score: 0.43.
CAND_0005781,64,0.48597,Strong match with 0 out of 22 required skills at advanced/expert level. 14.6 years of experience. Behavioral engagement score: 0.58.
CAND_0077337,65,0.485594,Strong match with 5 out of 22 required skills at advanced/expert level. 7.0 years of experience. Behavioral engagement score: 0.79.
CAND_0037362,66,0.485563,Strong match with 1 out of 22 required skills at advanced/expert level. 13.6 years of experience. Behavioral engagement score: 0.49.
CAND_0007818,67,0.485377,Strong match with 0 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.46.
CAND_0030342,68,0.484779,Strong match with 0 out of 22 required skills at advanced/expert level. 13.7 years of experience. Behavioral engagement score: 0.54.
CAND_0091011,69,0.48469,Strong match with 0 out of 22 required skills at advanced/expert level. 15.0 years of experience. Behavioral engagement score: 0.33.
CAND_0033490,70,0.484581,Strong match with 1 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.52.
CAND_0051048,71,0.484235,Strong match with 0 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.61.
CAND_0067102,72,0.483458,Strong match with 0 out of 22 required skills at advanced/expert level. 14.6 years of experience. Behavioral engagement score: 0.53.
CAND_0035762,73,0.483137,Strong match with 1 out of 22 required skills at advanced/expert level. 14.1 years of experience. Behavioral engagement score: 0.45.
CAND_0025902,74,0.483061,Strong match with 3 out of 22 required skills at advanced/expert level. 13.7 years of experience. Behavioral engagement score: 0.40.
CAND_0012817,75,0.482862,Strong match with 0 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.42.
CAND_0029909,76,0.482765,Strong match with 0 out of 22 required skills at advanced/expert level. 14.6 years of experience. Behavioral engagement score: 0.46.
CAND_0039650,77,0.482434,Strong match with 1 out of 22 required skills at advanced/expert level. 12.9 years of experience. Behavioral engagement score: 0.47.
CAND_0017575,78,0.482275,Strong match with 2 out of 22 required skills at advanced/expert level. 12.9 years of experience. Behavioral engagement score: 0.36.
CAND_0014398,79,0.482069,Strong match with 0 out of 22 required skills at advanced/expert level. 14.6 years of experience. Behavioral engagement score: 0.48.
CAND_0022960,80,0.482026,Strong match with 0 out of 22 required skills at advanced/expert level. 13.4 years of experience. Behavioral engagement score: 0.53.
CAND_0011223,81,0.481451,Strong match with 2 out of 22 required skills at advanced/expert level. 13.9 years of experience. Behavioral engagement score: 0.58.
CAND_0062630,82,0.481119,Strong match with 2 out of 22 required skills at advanced/expert level. 13.3 years of experience. Behavioral engagement score: 0.45.
CAND_0055989,83,0.480741,Strong match with 0 out of 22 required skills at advanced/expert level. 14.3 years of experience. Behavioral engagement score: 0.55.
CAND_0033202,84,0.480606,Strong match with 3 out of 22 required skills at advanced/expert level. 14.3 years of experience. Behavioral engagement score: 0.52.
CAND_0052131,85,0.480565,Strong match with 3 out of 22 required skills at advanced/expert level. 14.3 years of experience. Behavioral engagement score: 0.19.
CAND_0006615,86,0.480423,Strong match with 0 out of 22 required skills at advanced/expert level. 14.6 years of experience. Behavioral engagement score: 0.60.
CAND_0086738,87,0.480372,Strong match with 3 out of 22 required skills at advanced/expert level. 11.9 years of experience. Behavioral engagement score: 0.41.
CAND_0045418,88,0.480344,Strong match with 2 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.51.
CAND_0030301,89,0.48024,Strong match with 0 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.62.
CAND_0059566,90,0.480058,Strong match with 0 out of 22 required skills at advanced/expert level. 13.6 years of experience. Behavioral engagement score: 0.50.
CAND_0021011,91,0.480051,Strong match with 0 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.40.
CAND_0093940,92,0.479995,Strong match with 0 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.45.
CAND_0034115,93,0.479806,Strong match with 3 out of 22 required skills at advanced/expert level. 14.7 years of experience. Behavioral engagement score: 0.42.
CAND_0048927,94,0.479623,Strong match with 0 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.47.
CAND_0000201,95,0.479445,Strong match with 0 out of 22 required skills at advanced/expert level. 14.1 years of experience. Behavioral engagement score: 0.65.
CAND_0018066,96,0.479309,Strong match with 2 out of 22 required skills at advanced/expert level. 12.9 years of experience. Behavioral engagement score: 0.38.
CAND_0075266,97,0.479251,Strong match with 0 out of 22 required skills at advanced/expert level. 14.7 years of experience. Behavioral engagement score: 0.56.
CAND_0063431,98,0.479197,Strong match with 2 out of 22 required skills at advanced/expert level. 12.3 years of experience. Behavioral engagement score: 0.46.
CAND_0072665,99,0.478303,Strong match with 3 out of 22 required skills at advanced/expert level. 12.9 years of experience. Behavioral engagement score: 0.38.
CAND_0092276,100,0.478235,Strong match with 0 out of 22 required skills at advanced/expert level. 14.3 years of experience. Behavioral engagement score: 0.57.
